Q-avg,Q-std,Q_loss,alpha,epoch,evaluation/episode-length-avg,evaluation/episode-length-max,evaluation/episode-length-min,evaluation/episode-length-std,evaluation/return-average,evaluation/return-max,evaluation/return-min,evaluation/return-std,model/max_penalty,model/mean_rollout_length,model/mean_rollout_reward,model/origin_ret,model/penalty_ret,model/val_loss,model/valid_num,perf/AverageLength,perf/AverageReturn,perf/NormalizedReturn,sampler/episodes,sampler/last-path-return,sampler/max-path-return,sampler/pool-size,sampler/total-samples,time-step,times/epoch_after_hook,times/epoch_before_hook,times/epoch_rollout_model,times/evaluation_metrics,times/evaluation_paths,times/timestep_after_hook,times/timestep_before_hook,times/train,timestep,timesteps_total,train-steps,training/Q/q1_loss,training/sac_Q/q1,training/sac_Q/q2,training/sac_Q/q2_loss,training/sac_Q/q_global_norm,training/sac_pi/alpha,training/sac_pi/alpha_loss,training/sac_pi/logp_pi,training/sac_pi/pi_entropy,training/sac_pi/pi_global_norm,training/sac_pi/policy_loss,training/sac_pi/std,training/sac_pi/valid_num
16.003712,21.966997,4.9606376,0.73758304,0,162.8,175,154,7.05407683541936,282.63895,294.28754,273.81952,7.227929,7.337900161743164,20.0,-2.0742980999344227,45.27884303030444,103.12789264136791,0.35430613,21450,162.8,282.63895,0.061213260332293296,0,0,-inf,1000000,0,0,1.914799213409424e-06,0.000128917396068573,511.2924516350031,0.0004816800355911255,5.3479979410767555,0.0036436542868614197,0.007795274257659912,59.300564371049404,1000,1000,1000,4.5229893,14.592044,15.172693,4.496916,13.725344,0.73779804,-2.0006752,2.2541804,6.806127,1.1045088,-21.550041,1.0232617,4081.0
27.25658,29.741484,12.850404,0.55892324,1,178.7,191,165,9.252567211320326,299.96396,312.89648,285.7938,9.703134,7.337900161743164,20.0,-1.050946703592779,61.42463343604234,103.79930315064252,0.35430613,23046,178.7,299.96396,0.06498722109690111,0,0,-inf,1000000,0,1,1.8924474716186523e-06,0.0002695620059967041,490.670148588717,0.0005443170666694641,5.720602087676525,0.0040067508816719055,0.008106909692287445,57.491541892290115,1000,2000,2000,11.536837,29.126379,29.54298,11.558304,26.345041,0.5590699,-3.0902505,3.3749547,6.502599,0.72796875,-35.87544,0.9098516,4305.0
36.449215,38.216755,18.745926,0.42868236,2,195.9,237,174,17.518276170902205,324.3524,366.29407,301.6794,18.021896,7.337900161743164,20.0,1.0393449774116192,82.0630623013407,103.0842952809155,0.35430613,30458,195.9,324.3524,0.07029982741891283,0,0,-inf,1000000,0,2,2.0191073417663574e-06,0.00010953843593597412,482.31141924858093,0.0005439147353172302,6.449079915881157,0.003924421966075897,0.008288674056529999,57.93177039921284,1000,3000,3000,21.825224,34.247574,35.038654,21.969236,47.949493,0.42879212,-3.9480972,6.2836485,5.943638,1.0483931,-45.04218,0.91471726,4195.0
44.221092,45.297375,25.115759,0.33194867,3,234.3,339,205,37.52878894928533,366.50946,470.69598,337.9298,37.46928,7.337900161743164,20.0,2.0900081452864745,86.57264174943914,98.73130346842409,0.35430613,38733,234.3,366.50946,0.07948303267323731,0,0,-inf,1000000,0,3,1.8700957298278809e-06,6.502866744995117e-05,482.7435885667801,0.0005888119339942932,7.642718307673931,0.004194177687168121,0.008230999112129211,59.27520331740379,1000,4000,4000,28.763987,42.34928,42.959522,28.692263,65.94748,0.3320312,-4.3071303,6.0982404,5.457289,0.8372052,-52.886875,0.84662604,4271.0
46.516098,44.753456,27.620432,0.26004943,4,94.7,96,93,0.9,-18.68297,-17.821589,-19.585665,0.47468323,7.337900161743164,20.0,2.397266830226439,86.74436881800384,93.74730293022454,0.35430613,41567,94.7,-18.68297,-0.004424620732436289,0,0,-inf,1000000,0,4,1.8775463104248047e-06,0.00012936443090438843,483.0045432597399,0.00046712905168533325,3.0582424849271774,0.004005037248134613,0.008413627743721008,58.071190886199474,1000,5000,5000,31.036257,50.062996,51.394886,31.012278,89.63757,0.26011172,-4.4740186,4.827073,5.090741,0.7561209,-60.922054,0.7621713,4459.0
65.04344,46.58034,34.88828,0.20606346,5,95.3,96,95,0.45825756949558394,-16.425972,-15.736895,-17.048075,0.47778293,7.337900161743164,20.0,2.456787451643954,83.19441914246279,90.19572584872127,0.35430613,43450,95.3,-16.425972,-0.00393297189372252,0,0,-inf,1000000,0,5,2.0638108253479004e-06,0.00027188658714294434,480.05070968717337,0.00047663599252700806,3.1176125034689903,0.003980517387390137,0.008335761725902557,58.77003447711468,1000,6000,6000,36.18183,62.84884,64.01459,36.19645,119.4396,0.20610946,-3.8377326,3.6769805,4.5257187,0.9189149,-72.75672,0.6385626,4610.0
75.030045,48.332275,30.985102,0.1641544,6,144.8,167,131,10.23523326553919,48.29069,59.55766,34.195282,8.579639,7.337900161743164,20.0,2.7098219775827928,86.41931699976243,89.34030942451119,0.35430613,44020,144.8,48.29069,0.010164458192941312,0,0,-inf,1000000,0,6,1.8104910850524902e-06,0.00010944902896881104,491.3566238284111,0.00042982399463653564,4.701574556529522,0.0038568079471588135,0.008211679756641388,58.12649826705456,1000,7000,7000,33.534058,74.88097,75.25563,33.484917,92.160126,0.1641826,-2.8098743,3.7260063,4.255277,0.80354667,-82.63017,0.5997729,4772.0
79.467285,46.769604,33.5976,0.13815017,7,208.2,264,194,19.88366163461851,385.00958,483.1737,344.58478,37.180664,7.337900161743164,20.0,2.2629810004405644,81.08849706517432,87.8575849254346,0.35430613,42380,208.2,385.00958,0.08351297123832986,0,0,-inf,1000000,0,7,1.8328428268432617e-06,8.593499660491943e-05,478.20021211355925,0.0004553273320198059,6.618274979293346,0.003857947885990143,0.008245065808296204,58.43896659463644,1000,8000,8000,32.411007,78.14357,78.288086,32.55646,102.78023,0.13817129,-1.7638617,3.7359924,3.7523675,0.65514535,-83.91375,0.5239636,4836.0
89.09245,49.01531,34.989628,0.12179275,8,96.0,110,88,7.899367063252599,10.081925,23.073524,-8.203589,10.547563,7.337900161743164,20.0,2.8015256427569373,86.92717454969015,87.69588804695606,0.35430613,44326,96.0,10.081925,0.0018413250278404786,0,0,-inf,1000000,0,8,1.7508864402770996e-06,6.946176290512085e-05,483.9107694104314,0.0004772171378135681,3.1310475021600723,0.0038997456431388855,0.008633129298686981,58.56703283637762,1000,9000,9000,37.823414,91.69376,91.68788,37.902473,174.54872,0.12180652,-1.2950206,4.0850496,3.6018538,0.97080356,-95.677216,0.5241925,4927.0
101.33065,45.260853,39.48274,0.11797314,9,119.4,121,118,0.9165151389911679,229.33867,233.16579,227.06145,2.0117466,7.337900161743164,20.0,2.53879906696938,84.17808032386687,88.27835229069412,0.35430613,43813,119.4,229.33867,0.0496026966907591,0,0,-inf,1000000,0,9,1.735985279083252e-06,0.00031019747257232666,477.14945563673973,0.0005274564027786255,3.999247185885906,0.003861956298351288,0.00825086236000061,58.04331437498331,1000,10000,10000,37.790993,95.38127,95.081116,37.855453,128.42183,0.11797758,-0.038640916,4.9857025,3.7070553,1.0845027,-101.35745,0.54519516,4871.0
